Test Name,Algorithm,Avg Waiting,Avg Turnaround,Avg Response,CPU Util,Throughput
Small-1,FCFS,108.20,173.40,108.20,99.39,0.0152
Small-1,SJF,104.00,169.20,104.00,99.39,0.0152
Small-1,Priority,131.20,196.40,131.20,99.39,0.0152
Small-1,RR(q=4),189.80,255.00,6.60,99.39,0.0152
Small-1,SRTF,96.40,161.60,91.40,99.39,0.0152
Small-1,MLFQ,189.20,254.40,1.00,99.39,0.0152
Small-2,FCFS,6.00,11.00,6.00,78.12,0.1562
Small-2,SJF,4.40,9.40,4.40,78.12,0.1562
Small-2,Priority,7.80,12.80,7.80,78.12,0.1562
Small-2,RR(q=4),6.00,11.00,3.60,78.12,0.1562
Small-2,SRTF,2.80,7.80,2.20,78.12,0.1562
Small-2,MLFQ,5.00,10.00,0.60,78.12,0.1562
Small-3,FCFS,19.60,42.20,19.60,96.58,0.0427
Small-3,SJF,16.20,38.80,16.20,96.58,0.0427
Small-3,Priority,25.40,48.00,25.40,96.58,0.0427
Small-3,RR(q=4),31.40,54.00,3.00,96.58,0.0427
Small-3,SRTF,16.20,38.80,16.20,96.58,0.0427
Small-3,MLFQ,34.80,57.40,0.60,96.58,0.0427
Medium-1,FCFS,598.45,665.45,598.45,100.00,0.0149
Medium-1,SJF,496.65,563.65,496.65,100.00,0.0149
Medium-1,Priority,591.00,658.00,591.00,100.00,0.0149
Medium-1,RR(q=4),990.30,1057.30,35.85,100.00,0.0149
Medium-1,SRTF,495.85,562.85,493.15,100.00,0.0149
Medium-1,MLFQ,939.15,1006.15,7.65,100.00,0.0149
Medium-2,FCFS,34.90,39.65,34.90,98.96,0.2083
Medium-2,SJF,22.85,27.60,22.85,98.96,0.2083
Medium-2,Priority,36.85,41.60,36.85,98.96,0.2083
Medium-2,RR(q=4),38.35,43.10,22.65,98.96,0.2083
Medium-2,SRTF,22.15,26.90,20.20,98.96,0.2083
Medium-2,MLFQ,40.60,45.35,9.60,98.96,0.2083
Medium-3,FCFS,233.85,257.55,233.85,99.79,0.0421
Medium-3,SJF,154.30,178.00,154.30,99.79,0.0421
Medium-3,Priority,202.25,225.95,202.25,99.79,0.0421
Medium-3,RR(q=4),290.95,314.65,33.60,99.79,0.0421
Medium-3,SRTF,145.30,169.00,137.60,99.79,0.0421
Medium-3,MLFQ,294.80,318.50,12.10,99.79,0.0421
Large-1,FCFS,1114.60,1168.67,1114.60,100.00,0.0185
Large-1,SJF,811.40,865.48,811.40,100.00,0.0185
Large-1,Priority,1044.45,1098.53,1044.45,100.00,0.0185
Large-1,RR(q=4),1587.03,1641.10,75.92,100.00,0.0185
Large-1,SRTF,791.38,845.45,736.92,100.00,0.0185
Large-1,MLFQ,1611.20,1665.28,30.32,100.00,0.0185
Large-2,FCFS,100.12,105.45,100.12,100.00,0.1878
Large-2,SJF,66.83,72.15,66.83,100.00,0.1878
Large-2,Priority,94.55,99.88,94.55,100.00,0.1878
Large-2,RR(q=4),128.97,134.30,67.72,100.00,0.1878
Large-2,SRTF,66.83,72.15,66.65,100.00,0.1878
Large-2,MLFQ,123.55,128.88,30.18,100.00,0.1878
Large-3,FCFS,514.58,542.65,514.58,99.91,0.0356
Large-3,SJF,297.18,325.25,297.18,99.91,0.0356
Large-3,Priority,520.60,548.67,520.60,99.91,0.0356
Large-3,RR(q=4),590.83,618.90,74.12,99.91,0.0356
Large-3,SRTF,296.18,324.25,294.43,99.91,0.0356
Large-3,MLFQ,558.25,586.33,30.98,99.91,0.0356
XLarge-1,FCFS,1655.05,1712.17,1655.05,100.00,0.0175
XLarge-1,SJF,1346.17,1403.28,1346.17,100.00,0.0175
XLarge-1,Priority,1712.32,1769.43,1712.32,100.00,0.0175
XLarge-1,RR(q=4),2638.12,2695.23,115.37,100.00,0.0175
XLarge-1,SRTF,1324.42,1381.53,1282.13,100.00,0.0175
XLarge-1,MLFQ,2515.97,2573.08,49.70,100.00,0.0175
XLarge-2,FCFS,152.42,157.67,152.42,100.00,0.1905
XLarge-2,SJF,94.20,99.45,94.20,100.00,0.1905
XLarge-2,Priority,153.73,158.98,153.73,100.00,0.1905
XLarge-2,RR(q=4),187.45,192.70,95.52,100.00,0.1905
XLarge-2,SRTF,93.68,98.93,92.25,100.00,0.1905
XLarge-2,MLFQ,175.52,180.77,44.88,100.00,0.1905
XLarge-3,FCFS,762.93,788.70,762.93,100.00,0.0388
XLarge-3,SJF,399.00,424.77,399.00,100.00,0.0388
XLarge-3,Priority,715.18,740.95,715.18,100.00,0.0388
XLarge-3,RR(q=4),771.88,797.65,107.05,100.00,0.0388
XLarge-3,SRTF,393.52,419.28,389.65,100.00,0.0388
XLarge-3,MLFQ,750.70,776.47,49.12,100.00,0.0388
